Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1548968420.789386,38666,61,0
5,StockLevel,1548968420.799558,14133,64,0
2,Payment,1548968420.810692,16041,63,0
1,NewOrder,1548968420.821819,6255,60,0
2,Payment,1548968420.833027,68810,62,0
2,Payment,1548968420.844193,6081,57,0
2,Payment,1548968420.855381,47329,66,0
5,StockLevel,1548968420.866569,14335,68,0
1,NewOrder,1548968420.877779,6569,59,0
1,NewOrder,1548968420.888974,6554,58,0
2,Payment,1548968420.900131,5686,54,0
2,Payment,1548968420.911335,48943,55,0
2,Payment,1548968420.922661,5224,16,0
3,OrderStatus,1548968420.932862,7781,14,0
3,OrderStatus,1548968420.944059,7510,52,0
3,OrderStatus,1548968420.955264,7652,2,0
2,Payment,1548968420.966458,27420,18,0
1,NewOrder,1548968420.977665,6909,51,0
2,Payment,1548968420.988947,5473,15,0
1,NewOrder,1548968421.000173,22474,56,0
2,Payment,1548968421.011495,24002,9,0
1,NewOrder,1548968421.022870,5129,19,0
2,Payment,1548968421.033108,5151,53,0
1,NewOrder,1548968421.044263,183227,1,0
1,NewOrder,1548968421.055409,20908,17,0
3,OrderStatus,1548968421.066582,9045,49,0
1,NewOrder,1548968421.077804,5212,6,0
3,OrderStatus,1548968421.088994,35546,4,0
2,Payment,1548968421.100401,5464,44,0
2,Payment,1548968421.111708,5377,8,0
2,Payment,1548968421.121890,5317,45,0
1,NewOrder,1548968421.133127,6395,20,0
4,Delivery,1548968421.144334,100429,50,0
2,Payment,1548968421.155545,5237,10,0
2,Payment,1548968421.166750,5514,48,0
1,NewOrder,1548968421.178040,5490,11,0
1,NewOrder,1548968421.189468,5216,21,0
1,NewOrder,1548968421.199658,4657,47,0
1,NewOrder,1548968421.210872,4933,35,0
2,Payment,1548968421.222177,5221,3,0
2,Payment,1548968421.233401,61374,39,0
1,NewOrder,1548968421.244584,6100,13,0
2,Payment,1548968421.255941,4688,12,0
2,Payment,1548968421.267208,27956,36,0
2,Payment,1548968421.277436,5758,22,0
1,NewOrder,1548968421.288654,6805,46,0
2,Payment,1548968421.299890,27903,0,0
1,NewOrder,1548968421.311122,4814,7,0
1,NewOrder,1548968421.322342,5736,23,0
1,NewOrder,1548968421.333723,22953,41,0
2,Payment,1548968421.343971,42620,40,0
1,NewOrder,1548968421.355189,5244,26,0
3,OrderStatus,1548968421.366432,8497,31,0
2,Payment,1548968421.377665,5105,30,0
2,Payment,1548968421.388897,55965,29,0
2,Payment,1548968421.400090,45266,27,0
1,NewOrder,1548968421.411462,6182,38,0
1,NewOrder,1548968421.422852,5896,28,0
2,Payment,1548968421.433046,5538,43,0
1,NewOrder,1548968421.444227,61211,42,0
4,Delivery,1548968421.455407,59619,37,0
2,Payment,1548968421.466560,8706,25,0
2,Payment,1548968421.477734,4644,24,0
2,Payment,1548968421.488962,4350,33,0
3,OrderStatus,1548968421.500161,7461,32,0
2,Payment,1548968421.511608,70274,34,0
2,Payment,1548968421.521838,5593,69,0
1,NewOrder,1548968421.533065,5403,65,0
2,Payment,1548968421.544174,4914,67,0
1,NewOrder,1548968421.555414,3796,64,0
1,NewOrder,1548968421.566672,3541,63,0
2,Payment,1548968421.577944,3622,61,0
3,OrderStatus,1548968421.589325,5536,60,0
1,NewOrder,1548968421.599582,49218,5,0
1,NewOrder,1548968421.610788,11733,57,0
1,NewOrder,1548968421.621993,3214,68,0
1,NewOrder,1548968421.633102,3851,59,0
1,NewOrder,1548968421.644275,3506,58,0
2,Payment,1548968421.655509,10318,62,0
1,NewOrder,1548968421.666728,82926,66,0
1,NewOrder,1548968421.677900,9101,54,0
2,Payment,1548968421.689330,2746,16,0
1,NewOrder,1548968421.699564,4175,14,0
2,Payment,1548968421.710781,4403,52,0
2,Payment,1548968421.721889,3617,55,0
1,NewOrder,1548968421.733079,4433,2,0
2,Payment,1548968421.744258,3690,51,0
2,Payment,1548968421.755436,77278,18,0
1,NewOrder,1548968421.766647,4408,15,0
1,NewOrder,1548968421.777876,3603,56,0
1,NewOrder,1548968421.789249,3830,19,0
1,NewOrder,1548968421.800661,4264,9,0
2,Payment,1548968421.810858,2794,53,0
2,Payment,1548968421.822289,4333,49,0
2,Payment,1548968421.833537,57495,17,0
2,Payment,1548968421.844877,4065,6,0
2,Payment,1548968421.855085,3110,44,0
1,NewOrder,1548968421.866404,4555,8,0
1,NewOrder,1548968421.877652,4548,4,0
1,NewOrder,1548968421.888903,4899,45,0
2,Payment,1548968421.900126,57763,20,0
1,NewOrder,1548968421.911447,3785,10,0
2,Payment,1548968421.922830,2782,48,0
1,NewOrder,1548968421.933042,3926,11,0
2,Payment,1548968421.944223,14305,21,0
1,NewOrder,1548968421.955431,3932,47,0
2,Payment,1548968421.966582,74740,35,0
1,NewOrder,1548968421.977817,4510,3,0
2,Payment,1548968421.989056,3498,1,0
1,NewOrder,1548968422.000404,4969,50,0
1,NewOrder,1548968422.011769,3686,13,0
1,NewOrder,1548968422.022059,4294,12,0
2,Payment,1548968422.033279,2925,22,0
2,Payment,1548968422.044478,22057,39,0
2,Payment,1548968422.055702,11404,36,0
2,Payment,1548968422.067327,57460,46,0
2,Payment,1548968422.077544,3622,7,0
1,NewOrder,1548968422.088812,3777,0,0
1,NewOrder,1548968422.100053,3311,23,0
2,Payment,1548968422.111329,13844,41,0
1,NewOrder,1548968422.122752,3415,26,0
1,NewOrder,1548968422.132972,42557,31,0
1,NewOrder,1548968422.144189,15731,30,0
1,NewOrder,1548968422.155390,4481,40,0
1,NewOrder,1548968422.166549,3693,38,0
1,NewOrder,1548968422.177775,27655,28,0
1,NewOrder,1548968422.189010,16590,43,0
2,Payment,1548968422.200326,67358,29,0
2,Payment,1548968422.211760,56335,27,0
2,Payment,1548968422.221971,46201,25,0
2,Payment,1548968422.233280,35031,24,0
1,NewOrder,1548968422.244517,5176,33,0
2,Payment,1548968422.255939,3650,42,0
5,StockLevel,1548968422.267310,9837,32,0
1,NewOrder,1548968422.277518,19979,37,0
2,Payment,1548968422.288734,29180,69,0
1,NewOrder,1548968422.299953,3614,65,0
2,Payment,1548968422.311185,7123,67,0
2,Payment,1548968422.322392,70380,64,0
2,Payment,1548968422.333755,59542,63,0
1,NewOrder,1548968422.345002,4193,61,0
2,Payment,1548968422.355227,3034,34,0
1,NewOrder,1548968422.366334,3817,60,0
2,Payment,1548968422.377509,3196,57,0
1,NewOrder,1548968422.388733,3554,68,0
2,Payment,1548968422.399894,68073,59,0
1,NewOrder,1548968422.411155,3465,58,0
1,NewOrder,1548968422.422453,3230,5,0
1,NewOrder,1548968422.433725,3557,62,0
2,Payment,1548968422.444990,23447,54,0
1,NewOrder,1548968422.455212,4579,16,0
1,NewOrder,1548968422.466409,3350,14,0
1,NewOrder,1548968422.477543,74506,52,0
1,NewOrder,1548968422.488749,17754,55,0
1,NewOrder,1548968422.499924,6871,2,0
2,Payment,1548968422.511045,2666,51,0
3,OrderStatus,1548968422.522272,6351,66,0
1,NewOrder,1548968422.533481,3557,15,0
