Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,OrderStatus,1548966045.066336,15507,0,0
2,Payment,1548966045.104604,22899,1,0
1,NewOrder,1548966045.142848,59987,6,0
1,NewOrder,1548966045.182144,179056,10,0
1,NewOrder,1548966045.220406,157509,17,0
1,NewOrder,1548966045.258640,37487,13,0
2,Payment,1548966045.296878,11877,14,0
2,Payment,1548966045.335133,42822,8,0
2,Payment,1548966045.374565,28462,18,0
2,Payment,1548966045.413024,23268,11,0
2,Payment,1548966045.451490,43230,3,0
1,NewOrder,1548966045.489867,38256,4,0
2,Payment,1548966045.528136,24865,19,0
2,Payment,1548966045.566380,36629,16,0
2,Payment,1548966045.604583,23414,12,0
1,NewOrder,1548966045.642812,51885,15,0
1,NewOrder,1548966045.682230,62497,7,0
1,NewOrder,1548966045.720687,24919,2,0
1,NewOrder,1548966045.758913,69152,5,0
1,NewOrder,1548966045.797049,47714,0,0
1,NewOrder,1548966045.835259,34750,9,0
1,NewOrder,1548966045.874716,45132,1,0
1,NewOrder,1548966045.913091,23092,6,0
2,Payment,1548966045.951390,18213,13,0
1,NewOrder,1548966045.992947,51948,14,0
2,Payment,1548966046.028360,24893,10,0
1,NewOrder,1548966046.066904,28099,17,0
2,Payment,1548966046.105312,31208,8,0
1,NewOrder,1548966046.143789,42461,18,0
1,NewOrder,1548966046.182203,54452,11,0
1,NewOrder,1548966046.220584,49421,3,0
2,Payment,1548966046.258829,19604,4,0
2,Payment,1548966046.297078,22906,19,0
2,Payment,1548966046.335300,34798,16,0
2,Payment,1548966046.374708,45385,12,0
2,Payment,1548966046.413109,7894,15,0
1,NewOrder,1548966046.451608,26575,7,0
1,NewOrder,1548966046.490009,138515,2,0
2,Payment,1548966046.528269,50113,5,0
2,Payment,1548966046.566469,12564,0,0
1,NewOrder,1548966046.604702,57097,9,0
2,Payment,1548966046.642960,52172,1,0
2,Payment,1548966046.681300,14646,6,0
1,NewOrder,1548966046.720634,41215,13,0
3,OrderStatus,1548966046.758865,5085,14,0
3,OrderStatus,1548966046.797049,5316,10,0
1,NewOrder,1548966046.835275,26551,17,0
1,NewOrder,1548966046.873586,29702,8,0
1,NewOrder,1548966046.913033,23484,18,0
2,Payment,1548966046.951453,10160,11,0
1,NewOrder,1548966046.989893,80479,3,0
1,NewOrder,1548966047.028302,50175,4,0
2,Payment,1548966047.066532,20352,19,0
1,NewOrder,1548966047.104738,23624,16,0
1,NewOrder,1548966047.142971,27191,12,0
