Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1548971438.578407,28326,95,0
2,Payment,1548971438.585661,51786,96,0
2,Payment,1548971438.592918,45211,94,0
2,Payment,1548971438.601510,36636,92,0
1,NewOrder,1548971438.608792,4637,91,0
2,Payment,1548971438.617134,4612,89,0
1,NewOrder,1548971438.624373,5347,93,0
2,Payment,1548971438.632749,5596,90,0
2,Payment,1548971438.639934,22851,86,0
2,Payment,1548971438.648146,14889,88,0
2,Payment,1548971438.655343,7899,87,0
1,NewOrder,1548971438.663542,19951,83,0
2,Payment,1548971438.671874,66465,85,0
1,NewOrder,1548971438.679060,6260,84,0
5,StockLevel,1548971438.687431,12741,80,0
1,NewOrder,1548971438.694623,5971,81,0
2,Payment,1548971438.703000,5226,78,0
5,StockLevel,1548971438.710215,10958,79,0
1,NewOrder,1548971438.718421,5918,75,0
1,NewOrder,1548971438.726729,4814,74,0
3,OrderStatus,1548971438.733836,9575,76,0
2,Payment,1548971438.742108,21242,70,0
1,NewOrder,1548971438.749262,6041,72,0
2,Payment,1548971438.757459,4624,68,0
2,Payment,1548971438.765918,65196,69,0
1,NewOrder,1548971438.773147,19546,73,0
2,Payment,1548971438.780344,8399,71,0
1,NewOrder,1548971438.788462,5581,65,0
2,Payment,1548971438.796805,34798,66,0
2,Payment,1548971438.804007,27799,67,0
2,Payment,1548971438.812368,19574,63,0
2,Payment,1548971438.819553,12326,62,0
1,NewOrder,1548971438.827795,6363,64,0
2,Payment,1548971438.834990,54056,60,0
2,Payment,1548971438.843228,5677,59,0
2,Payment,1548971438.851489,38320,61,0
2,Payment,1548971438.858654,5760,58,0
2,Payment,1548971438.866852,4981,57,0
2,Payment,1548971438.875160,5953,56,0
1,NewOrder,1548971438.882355,6304,54,0
5,StockLevel,1548971438.890596,15288,45,0
1,NewOrder,1548971438.897828,18744,44,0
2,Payment,1548971438.906087,67216,55,0
2,Payment,1548971438.913276,60694,51,0
2,Payment,1548971438.921499,52515,53,0
2,Payment,1548971438.930012,43915,52,0
2,Payment,1548971438.937392,36650,50,0
1,NewOrder,1548971438.944618,5735,46,0
2,Payment,1548971438.952827,5446,49,0
2,Payment,1548971438.960018,5671,48,0
2,Payment,1548971438.968219,4882,47,0
2,Payment,1548971438.976388,38904,38,0
2,Payment,1548971438.983527,32365,39,0
1,NewOrder,1548971438.991718,8601,43,0
2,Payment,1548971438.999986,5507,42,0
1,NewOrder,1548971439.007187,5885,33,0
5,StockLevel,1548971439.015467,14005,34,0
1,NewOrder,1548971439.022636,36140,35,0
1,NewOrder,1548971439.030746,37203,36,0
2,Payment,1548971439.039041,19670,4,0
2,Payment,1548971439.046208,12496,11,0
1,NewOrder,1548971439.054565,5341,40,0
3,OrderStatus,1548971439.061678,6943,3,0
2,Payment,1548971439.069850,81606,99,0
5,StockLevel,1548971439.078163,14557,2,0
1,NewOrder,1548971439.085320,7142,41,0
1,NewOrder,1548971439.093585,18370,7,0
1,NewOrder,1548971439.100797,15197,37,0
2,Payment,1548971439.109002,4979,10,0
4,Delivery,1548971439.117255,20195,32,0
1,NewOrder,1548971439.124425,5013,31,0
1,NewOrder,1548971439.132727,5739,0,0
2,Payment,1548971439.139885,5004,26,0
1,NewOrder,1548971439.148016,5530,1,0
1,NewOrder,1548971439.156354,82733,25,0
1,NewOrder,1548971439.163544,21115,6,0
1,NewOrder,1548971439.171748,14087,27,0
4,Delivery,1548971439.178882,116238,9,0
1,NewOrder,1548971439.187132,5153,5,0
2,Payment,1548971439.194377,4731,30,0
2,Payment,1548971439.202565,4490,13,0
2,Payment,1548971439.210844,5218,28,0
2,Payment,1548971439.218039,4566,29,0
2,Payment,1548971439.226213,5305,14,0
2,Payment,1548971439.234498,5314,24,0
1,NewOrder,1548971439.241638,19198,12,0
2,Payment,1548971439.249886,54187,23,0
2,Payment,1548971439.257069,5267,15,0
2,Payment,1548971439.265282,39687,22,0
1,NewOrder,1548971439.272490,4696,16,0
1,NewOrder,1548971439.280706,6360,21,0
1,NewOrder,1548971439.289048,13707,17,0
1,NewOrder,1548971439.296262,6289,20,0
2,Payment,1548971439.304601,83011,18,0
2,Payment,1548971439.311881,76327,19,0
2,Payment,1548971439.320140,5954,8,0
1,NewOrder,1548971439.327499,11727,98,0
2,Payment,1548971439.335818,6235,77,0
2,Payment,1548971439.343021,5556,97,0
