Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1548967897.434524,23039,14,0
1,NewOrder,1548967897.447725,9834,1,0
2,Payment,1548967897.460990,6437,58,0
1,NewOrder,1548967897.473128,6512,28,0
1,NewOrder,1548967897.486225,28061,26,0
2,Payment,1548967897.499376,52188,5,0
2,Payment,1548967897.512570,39759,0,0
2,Payment,1548967897.525850,5450,25,0
2,Payment,1548967897.538024,5502,15,0
2,Payment,1548967897.551260,83702,11,0
2,Payment,1548967897.564478,71245,12,0
2,Payment,1548967897.577875,5565,54,0
2,Payment,1548967897.590096,5745,24,0
2,Payment,1548967897.603405,5751,57,0
2,Payment,1548967897.616696,5733,29,0
1,NewOrder,1548967897.630006,6373,16,0
1,NewOrder,1548967897.642261,111414,20,0
4,Delivery,1548967897.655365,173455,56,0
2,Payment,1548967897.668537,11959,22,0
2,Payment,1548967897.681921,4894,9,0
2,Payment,1548967897.694109,5751,6,0
1,NewOrder,1548967897.707330,6836,18,0
2,Payment,1548967897.720645,4558,55,0
2,Payment,1548967897.732797,5421,51,0
2,Payment,1548967897.746018,4992,4,0
1,NewOrder,1548967897.759276,153381,3,0
1,NewOrder,1548967897.772698,26580,59,0
4,Delivery,1548967897.784803,44675,53,0
1,NewOrder,1548967897.797905,5259,17,0
1,NewOrder,1548967897.811111,5909,52,0
3,OrderStatus,1548967897.824298,6386,2,0
2,Payment,1548967897.837659,5586,23,0
2,Payment,1548967897.849863,4948,21,0
1,NewOrder,1548967897.862965,6277,50,0
2,Payment,1548967897.876145,5173,7,0
2,Payment,1548967897.889413,4989,8,0
2,Payment,1548967897.902695,4942,13,0
1,NewOrder,1548967897.914892,23957,44,0
2,Payment,1548967897.927993,67648,43,0
2,Payment,1548967897.941103,55136,48,0
2,Payment,1548967897.954413,6034,30,0
1,NewOrder,1548967897.966633,5379,45,0
2,Payment,1548967897.979855,6922,31,0
2,Payment,1548967897.993065,3605,47,0
1,NewOrder,1548967898.006287,35129,32,0
1,NewOrder,1548967898.019686,21681,46,0
2,Payment,1548967898.031915,22393,33,0
5,StockLevel,1548967898.045144,12586,41,0
1,NewOrder,1548967898.057484,80317,38,0
1,NewOrder,1548967898.070755,6482,34,0
1,NewOrder,1548967898.083978,6457,36,0
1,NewOrder,1548967898.097342,4887,40,0
2,Payment,1548967898.109662,4756,39,0
1,NewOrder,1548967898.122910,5216,37,0
2,Payment,1548967898.136090,6019,42,0
4,Delivery,1548967898.149656,89343,35,0
2,Payment,1548967898.161908,68415,19,0
2,Payment,1548967898.175225,5203,27,0
1,NewOrder,1548967898.187467,5629,10,0
1,NewOrder,1548967898.200720,3691,1,0
1,NewOrder,1548967898.213834,3700,14,0
1,NewOrder,1548967898.227252,4824,58,0
1,NewOrder,1548967898.239485,49712,28,0
1,NewOrder,1548967898.252629,20910,49,0
1,NewOrder,1548967898.265782,7240,26,0
5,StockLevel,1548967898.279222,10351,25,0
1,NewOrder,1548967898.291463,22962,15,0
2,Payment,1548967898.304691,59604,5,0
2,Payment,1548967898.317865,47133,0,0
2,Payment,1548967898.331207,3301,54,0
1,NewOrder,1548967898.343423,4550,24,0
5,StockLevel,1548967898.356656,15752,57,0
2,Payment,1548967898.369981,69330,29,0
2,Payment,1548967898.382158,2983,11,0
1,NewOrder,1548967898.395338,4600,12,0
5,StockLevel,1548967898.408556,12779,16,0
2,Payment,1548967898.421766,18092,22,0
2,Payment,1548967898.435183,3130,9,0
1,NewOrder,1548967898.447434,21197,6,0
2,Payment,1548967898.460592,62157,18,0
1,NewOrder,1548967898.473996,4852,55,0
1,NewOrder,1548967898.486312,4186,51,0
1,NewOrder,1548967898.499499,4289,4,0
5,StockLevel,1548967898.513011,11202,20,0
2,Payment,1548967898.525255,55824,59,0
