Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1548967419.173168,134298,47,0
1,NewOrder,1548967419.188428,170500,42,0
2,Payment,1548967419.203557,104014,39,0
3,OrderStatus,1548967419.219857,9495,40,0
1,NewOrder,1548967419.234975,124161,5,0
1,NewOrder,1548967419.250228,108762,1,0
2,Payment,1548967419.266370,92791,3,0
2,Payment,1548967419.281598,77393,48,0
2,Payment,1548967419.297953,64550,44,0
2,Payment,1548967419.313184,49321,45,0
2,Payment,1548967419.328407,34098,46,0
1,NewOrder,1548967419.344814,35948,41,0
1,NewOrder,1548967419.359994,125049,34,0
4,Delivery,1548967419.375198,42709,0,0
2,Payment,1548967419.391416,93674,38,0
2,Payment,1548967419.406683,78157,43,0
2,Payment,1548967419.423079,103770,19,0
1,NewOrder,1548967419.438303,30320,36,0
1,NewOrder,1548967419.453540,34070,33,0
1,NewOrder,1548967419.469863,140555,49,0
1,NewOrder,1548967419.484992,21178,17,0
5,StockLevel,1548967419.500235,10953,9,0
2,Payment,1548967419.516447,211315,35,0
2,Payment,1548967419.531663,10734,20,0
2,Payment,1548967419.547991,10681,4,0
1,NewOrder,1548967419.563122,31227,16,0
5,StockLevel,1548967419.579390,11582,2,0
1,NewOrder,1548967419.594525,26753,21,0
2,Payment,1548967419.609690,118432,32,0
1,NewOrder,1548967419.625949,24999,18,0
2,Payment,1548967419.641229,86941,31,0
2,Payment,1548967419.656476,10939,6,0
1,NewOrder,1548967419.672589,23947,26,0
1,NewOrder,1548967419.687690,21443,12,0
1,NewOrder,1548967419.703960,5619,37,0
2,Payment,1548967419.719148,151529,13,0
1,NewOrder,1548967419.735571,134921,24,0
2,Payment,1548967419.750790,10515,25,0
1,NewOrder,1548967419.766049,3898,14,0
2,Payment,1548967419.782225,3629,11,0
1,NewOrder,1548967419.797376,33733,29,0
1,NewOrder,1548967419.813658,18796,27,0
2,Payment,1548967419.828839,2575,10,0
2,Payment,1548967419.843965,10783,23,0
1,NewOrder,1548967419.860229,170714,8,0
2,Payment,1548967419.875494,120992,30,0
2,Payment,1548967419.891909,10306,7,0
2,Payment,1548967419.907241,12023,22,0
1,NewOrder,1548967419.922425,29447,15,0
2,Payment,1548967419.938697,3754,28,0
1,NewOrder,1548967419.953935,14130,40,0
2,Payment,1548967419.969169,6420,47,0
1,NewOrder,1548967419.985646,4007,39,0
1,NewOrder,1548967420.001053,88426,42,0
1,NewOrder,1548967420.016252,174050,48,0
1,NewOrder,1548967420.032586,14090,1,0
1,NewOrder,1548967420.047836,12722,5,0
1,NewOrder,1548967420.062995,24585,3,0
1,NewOrder,1548967420.079275,22941,44,0
2,Payment,1548967420.094438,180895,45,0
4,Delivery,1548967420.109607,165690,46,0
2,Payment,1548967420.125793,149908,41,0
1,NewOrder,1548967420.140982,22545,0,0
2,Payment,1548967420.157443,6005,36,0
2,Payment,1548967420.172666,103260,43,0
1,NewOrder,1548967420.187874,20064,34,0
2,Payment,1548967420.204152,5206,38,0
2,Payment,1548967420.219391,7095,33,0
1,NewOrder,1548967420.234725,16723,17,0
1,NewOrder,1548967420.251024,109221,9,0
1,NewOrder,1548967420.266244,94177,19,0
1,NewOrder,1548967420.282493,27797,20,0
2,Payment,1548967420.297637,4620,4,0
1,NewOrder,1548967420.312814,26840,2,0
2,Payment,1548967420.329074,6943,16,0
1,NewOrder,1548967420.344216,24585,49,0
1,NewOrder,1548967420.360503,16928,21,0
2,Payment,1548967420.375676,76932,18,0
