Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1548966931.177653,81251,35,0
2,Payment,1548966931.195845,121763,13,0
1,NewOrder,1548966931.216228,101331,33,0
1,NewOrder,1548966931.235455,116125,37,0
2,Payment,1548966931.254705,96879,2,0
1,NewOrder,1548966931.275057,76551,39,0
1,NewOrder,1548966931.294251,116305,7,0
1,NewOrder,1548966931.314551,96061,3,0
1,NewOrder,1548966931.333812,119316,6,0
1,NewOrder,1548966931.353020,100062,12,0
1,NewOrder,1548966931.373278,79781,31,0
1,NewOrder,1548966931.392487,111290,32,0
2,Payment,1548966931.411713,66430,9,0
2,Payment,1548966931.431965,48845,4,0
2,Payment,1548966931.451158,52552,30,0
1,NewOrder,1548966931.470268,67105,8,0
2,Payment,1548966931.490472,46827,11,0
3,OrderStatus,1548966931.509747,10629,10,0
2,Payment,1548966931.530107,65716,26,0
2,Payment,1548966931.549459,113096,15,0
1,NewOrder,1548966931.568687,110888,1,0
2,Payment,1548966931.587966,91762,5,0
2,Payment,1548966931.608253,55128,14,0
1,NewOrder,1548966931.627523,52059,27,0
2,Payment,1548966931.647697,32468,0,0
1,NewOrder,1548966931.666882,46155,17,0
1,NewOrder,1548966931.686088,68959,28,0
2,Payment,1548966931.706569,81826,16,0
5,StockLevel,1548966931.725827,11917,18,0
2,Payment,1548966931.745086,93757,20,0
1,NewOrder,1548966931.765588,72997,22,0
3,OrderStatus,1548966931.784893,6275,25,0
1,NewOrder,1548966931.804135,9964,21,0
5,StockLevel,1548966931.823442,10974,19,0
1,NewOrder,1548966931.843798,155606,23,0
2,Payment,1548966931.863061,58935,24,0
2,Payment,1548966931.882329,10035,38,0
2,Payment,1548966931.902568,12002,36,0
2,Payment,1548966931.921804,144474,34,0
2,Payment,1548966931.941037,7527,29,0
3,OrderStatus,1548966931.961685,5632,35,0
2,Payment,1548966931.981137,85564,33,0
2,Payment,1548966932.000354,5835,13,0
2,Payment,1548966932.019601,5416,2,0
1,NewOrder,1548966932.039960,2924,37,0
2,Payment,1548966932.059212,7755,39,0
1,NewOrder,1548966932.078462,88132,7,0
2,Payment,1548966932.098866,67637,3,0
2,Payment,1548966932.118327,7095,31,0
1,NewOrder,1548966932.137526,18351,12,0
2,Payment,1548966932.156754,10409,6,0
2,Payment,1548966932.177165,31326,9,0
1,NewOrder,1548966932.196357,4356,4,0
1,NewOrder,1548966932.215589,34687,30,0
2,Payment,1548966932.235930,81135,32,0
2,Payment,1548966932.255111,129088,10,0
1,NewOrder,1548966932.274293,3886,11,0
2,Payment,1548966932.294467,7689,8,0
1,NewOrder,1548966932.313569,70520,26,0
5,StockLevel,1548966932.333908,8957,15,0
2,Payment,1548966932.353204,1536,14,0
2,Payment,1548966932.372426,7894,1,0
1,NewOrder,1548966932.392774,49852,27,0
2,Payment,1548966932.411877,114218,5,0
2,Payment,1548966932.431083,95914,0,0
1,NewOrder,1548966932.451262,17977,17,0
3,OrderStatus,1548966932.470443,5113,18,0
2,Payment,1548966932.490861,6758,28,0
2,Payment,1548966932.510046,5904,16,0
1,NewOrder,1548966932.529249,106050,25,0
1,NewOrder,1548966932.549546,85830,21,0
2,Payment,1548966932.568769,9553,19,0
3,OrderStatus,1548966932.587993,4429,22,0
2,Payment,1548966932.608377,5645,20,0
1,NewOrder,1548966932.627562,107940,38,0
4,Delivery,1548966932.647825,147252,36,0
1,NewOrder,1548966932.667122,127993,24,0
1,NewOrder,1548966932.686263,19214,29,0
1,NewOrder,1548966932.706530,88487,35,0
2,Payment,1548966932.725677,69601,23,0
1,NewOrder,1548966932.744842,23593,13,0
2,Payment,1548966932.765033,5090,2,0
2,Payment,1548966932.784258,6816,37,0
1,NewOrder,1548966932.804437,57664,34,0
1,NewOrder,1548966932.823626,38502,33,0
3,OrderStatus,1548966932.842872,6485,39,0
1,NewOrder,1548966932.863092,32712,31,0
1,NewOrder,1548966932.882314,21904,12,0
1,NewOrder,1548966932.902695,51769,3,0
1,NewOrder,1548966932.921930,41063,7,0
1,NewOrder,1548966932.941077,30568,6,0
2,Payment,1548966932.961407,18642,4,0
2,Payment,1548966932.980629,7634,9,0
1,NewOrder,1548966932.999823,38877,30,0
2,Payment,1548966933.020268,26740,11,0
1,NewOrder,1548966933.039493,82844,8,0
2,Payment,1548966933.058691,72108,32,0
2,Payment,1548966933.079160,51629,15,0
2,Payment,1548966933.098400,33309,14,0
2,Payment,1548966933.117602,6252,1,0
1,NewOrder,1548966933.137861,43028,26,0
1,NewOrder,1548966933.156951,75029,10,0
1,NewOrder,1548966933.177201,63337,27,0
2,Payment,1548966933.196389,44030,17,0
2,Payment,1548966933.215549,25557,18,0
2,Payment,1548966933.235912,13086,28,0
2,Payment,1548966933.255098,43622,16,0
1,NewOrder,1548966933.274317,41462,5,0
2,Payment,1548966933.294525,12857,0,0
2,Payment,1548966933.313698,60611,19,0
2,Payment,1548966933.334159,56799,22,0
5,StockLevel,1548966933.353609,8417,20,0
2,Payment,1548966933.372842,18876,25,0
2,Payment,1548966933.391946,57356,21,0
1,NewOrder,1548966933.412339,3156,29,0
1,NewOrder,1548966933.431560,26387,38,0
2,Payment,1548966933.450787,15442,13,0
1,NewOrder,1548966933.471231,36994,2,0
2,Payment,1548966933.490467,26031,37,0
3,OrderStatus,1548966933.509688,4221,35,0
2,Payment,1548966933.530109,61390,36,0
1,NewOrder,1548966933.549393,50754,24,0
2,Payment,1548966933.568626,6731,23,0
2,Payment,1548966933.589009,1429,39,0
4,Delivery,1548966933.608391,50421,34,0
5,StockLevel,1548966933.627508,11022,33,0
1,NewOrder,1548966933.647836,61265,31,0
1,NewOrder,1548966933.667111,50619,12,0
1,NewOrder,1548966933.686275,16784,3,0
1,NewOrder,1548966933.706512,61317,7,0
1,NewOrder,1548966933.725660,50741,6,0
1,NewOrder,1548966933.744829,40122,4,0
1,NewOrder,1548966933.765116,28154,9,0
2,Payment,1548966933.784288,17320,30,0
1,NewOrder,1548966933.804550,72281,11,0
2,Payment,1548966933.823691,61516,8,0
2,Payment,1548966933.842849,43103,1,0
1,NewOrder,1548966933.863045,30743,15,0
1,NewOrder,1548966933.882205,20125,32,0
2,Payment,1548966933.902556,58401,14,0
1,NewOrder,1548966933.921717,47667,26,0
2,Payment,1548966933.940881,1291,10,0
1,NewOrder,1548966933.961026,66905,17,0
1,NewOrder,1548966933.980246,56503,27,0
1,NewOrder,1548966934.000529,25278,18,0
1,NewOrder,1548966934.019687,25524,28,0
1,NewOrder,1548966934.039993,63733,16,0
2,Payment,1548966934.059283,52907,0,0
2,Payment,1548966934.078464,34408,5,0
2,Payment,1548966934.098791,5528,20,0
1,NewOrder,1548966934.118112,69224,19,0
1,NewOrder,1548966934.137412,58322,22,0
1,NewOrder,1548966934.156626,16102,25,0
5,StockLevel,1548966934.176913,8298,29,0
1,NewOrder,1548966934.196088,33288,21,0
2,Payment,1548966934.216369,21266,38,0
2,Payment,1548966934.235557,10490,13,0
2,Payment,1548966934.254790,49616,2,0
1,NewOrder,1548966934.275045,37896,35,0
2,Payment,1548966934.294182,6780,37,0
2,Payment,1548966934.313467,49524,23,0
4,Delivery,1548966934.333563,55624,39,0
2,Payment,1548966934.352663,19125,36,0
1,NewOrder,1548966934.372783,24841,24,0
1,NewOrder,1548966934.391979,55918,33,0
2,Payment,1548966934.412316,43993,34,0
3,OrderStatus,1548966934.431477,5822,3,0
2,Payment,1548966934.451749,4945,31,0
2,Payment,1548966934.471009,18945,12,0
3,OrderStatus,1548966934.490160,4851,7,0
2,Payment,1548966934.510510,46180,6,0
1,NewOrder,1548966934.529612,93798,4,0
4,Delivery,1548966934.548771,83681,9,0
2,Payment,1548966934.569098,63367,30,0
2,Payment,1548966934.588323,44241,11,0
2,Payment,1548966934.608570,23882,8,0
1,NewOrder,1548966934.627713,3859,1,0
2,Payment,1548966934.646873,60744,15,0
2,Payment,1548966934.667117,48717,32,0
2,Payment,1548966934.686263,1621,10,0
1,NewOrder,1548966934.706446,2491,14,0
2,Payment,1548966934.725580,57028,26,0
2,Payment,1548966934.745811,45236,18,0
2,Payment,1548966934.764973,26559,17,0
1,NewOrder,1548966934.784120,65748,27,0
4,Delivery,1548966934.804730,112717,28,0
1,NewOrder,1548966934.823990,93411,16,0
2,Payment,1548966934.843134,74313,20,0
1,NewOrder,1548966934.863387,112374,0,0
1,NewOrder,1548966934.882540,20137,5,0
1,NewOrder,1548966934.901716,2732,25,0
2,Payment,1548966934.921994,62231,29,0
1,NewOrder,1548966934.941141,43099,19,0
2,Payment,1548966934.961361,23593,22,0
2,Payment,1548966934.980522,4422,21,0
4,Delivery,1548966935.000772,50870,38,0
2,Payment,1548966935.020016,23114,13,0
1,NewOrder,1548966935.039150,62701,37,0
2,Payment,1548966935.059453,50743,2,0
2,Payment,1548966935.078608,31567,35,0
1,NewOrder,1548966935.097750,21038,23,0
3,OrderStatus,1548966935.117914,5439,36,0
1,NewOrder,1548966935.137073,40188,39,0
3,OrderStatus,1548966935.157331,4541,24,0
2,Payment,1548966935.176520,9093,3,0
2,Payment,1548966935.196787,22176,33,0
1,NewOrder,1548966935.215925,61721,34,0
1,NewOrder,1548966935.235083,67725,31,0
2,Payment,1548966935.255381,47348,12,0
2,Payment,1548966935.274527,36721,7,0
2,Payment,1548966935.294778,16945,6,0
1,NewOrder,1548966935.313912,30937,4,0
1,NewOrder,1548966935.333062,70309,1,0
1,NewOrder,1548966935.353161,108227,8,0
2,Payment,1548966935.372310,6684,9,0
1,NewOrder,1548966935.392547,77560,11,0
1,NewOrder,1548966935.411713,58411,30,0
