Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1548970776.240373,29015,87,0
1,NewOrder,1548970776.248520,92043,85,0
2,Payment,1548970776.257763,32149,82,0
2,Payment,1548970776.265907,24488,84,0
1,NewOrder,1548970776.275130,6179,83,0
1,NewOrder,1548970776.283289,6815,80,0
1,NewOrder,1548970776.292566,65002,79,0
2,Payment,1548970776.300709,56915,81,0
5,StockLevel,1548970776.309919,11156,77,0
2,Payment,1548970776.318178,10057,25,0
1,NewOrder,1548970776.327528,4842,89,0
2,Payment,1548970776.335653,38568,78,0
3,OrderStatus,1548970776.343909,8616,27,0
1,NewOrder,1548970776.353115,89199,13,0
1,NewOrder,1548970776.361288,22763,12,0
1,NewOrder,1548970776.370393,29514,73,0
1,NewOrder,1548970776.379662,83094,30,0
4,Delivery,1548970776.387764,74846,75,0
1,NewOrder,1548970776.396947,65765,76,0
1,NewOrder,1548970776.405134,57415,9,0
1,NewOrder,1548970776.414393,48110,72,0
1,NewOrder,1548970776.422496,20674,29,0
2,Payment,1548970776.431686,31059,10,0
5,StockLevel,1548970776.439791,10664,68,0
2,Payment,1548970776.449206,9695,26,0
1,NewOrder,1548970776.457327,72768,69,0
2,Payment,1548970776.466543,29596,71,0
1,NewOrder,1548970776.474644,18558,67,0
2,Payment,1548970776.483872,46150,32,0
2,Payment,1548970776.491977,2638,70,0
5,StockLevel,1548970776.501352,9788,65,0
4,Delivery,1548970776.509579,71275,1,0
5,StockLevel,1548970776.518827,11700,60,0
2,Payment,1548970776.527041,96512,24,0
2,Payment,1548970776.535245,88112,8,0
1,NewOrder,1548970776.544500,25476,63,0
1,NewOrder,1548970776.552606,29715,33,0
2,Payment,1548970776.561700,62290,4,0
2,Payment,1548970776.570986,8602,66,0
2,Payment,1548970776.579178,10356,62,0
1,NewOrder,1548970776.587330,29471,61,0
1,NewOrder,1548970776.596489,5220,0,0
1,NewOrder,1548970776.605796,102561,64,0
2,Payment,1548970776.613860,10160,5,0
1,NewOrder,1548970776.623116,136309,15,0
2,Payment,1548970776.631338,128088,31,0
2,Payment,1548970776.640602,8532,22,0
1,NewOrder,1548970776.648764,20486,57,0
2,Payment,1548970776.656908,7593,2,0
2,Payment,1548970776.666003,7493,59,0
2,Payment,1548970776.675347,11601,50,0
5,StockLevel,1548970776.683453,12823,21,0
1,NewOrder,1548970776.692746,6182,35,0
2,Payment,1548970776.700945,9742,55,0
1,NewOrder,1548970776.709152,67916,17,0
2,Payment,1548970776.718347,41593,36,0
1,NewOrder,1548970776.726503,22497,56,0
2,Payment,1548970776.735690,9527,23,0
1,NewOrder,1548970776.743895,58743,20,0
1,NewOrder,1548970776.753081,19073,58,0
2,Payment,1548970776.762342,8190,3,0
2,Payment,1548970776.770503,73987,49,0
2,Payment,1548970776.778695,7360,54,0
2,Payment,1548970776.787804,10725,38,0
2,Payment,1548970776.797101,114268,53,0
2,Payment,1548970776.805289,106583,52,0
2,Payment,1548970776.813411,11404,6,0
2,Payment,1548970776.822518,2373,42,0
2,Payment,1548970776.831765,2681,40,0
2,Payment,1548970776.839915,72113,51,0
5,StockLevel,1548970776.849282,14280,14,0
1,NewOrder,1548970776.857496,20103,18,0
1,NewOrder,1548970776.865704,26345,48,0
1,NewOrder,1548970776.874822,79190,16,0
1,NewOrder,1548970776.884065,18215,34,0
2,Payment,1548970776.892196,8823,7,0
1,NewOrder,1548970776.901331,95432,47,0
1,NewOrder,1548970776.909437,27460,46,0
2,Payment,1548970776.918637,8064,41,0
1,NewOrder,1548970776.926754,70045,19,0
2,Payment,1548970776.935957,7183,43,0
5,StockLevel,1548970776.944069,12417,39,0
1,NewOrder,1548970776.953426,17998,44,0
2,Payment,1548970776.961569,43910,45,0
2,Payment,1548970776.970743,12194,37,0
1,NewOrder,1548970776.978882,60276,11,0
1,NewOrder,1548970776.988154,17255,88,0
2,Payment,1548970776.996352,42782,28,0
2,Payment,1548970777.005552,9346,86,0
1,NewOrder,1548970777.013756,34478,74,0
2,Payment,1548970777.023178,5839,87,0
4,Delivery,1548970777.031350,35108,83,0
2,Payment,1548970777.039570,18083,82,0
1,NewOrder,1548970777.048738,2720,80,0
2,Payment,1548970777.056993,1153,84,0
4,Delivery,1548970777.066259,154023,77,0
2,Payment,1548970777.074559,92704,25,0
1,NewOrder,1548970777.083777,136486,89,0
1,NewOrder,1548970777.091909,18752,85,0
1,NewOrder,1548970777.101109,2855,27,0
1,NewOrder,1548970777.109305,110943,79,0
1,NewOrder,1548970777.118504,101766,81,0
1,NewOrder,1548970777.126629,93654,78,0
1,NewOrder,1548970777.135903,84281,12,0
3,OrderStatus,1548970777.144081,6197,73,0
1,NewOrder,1548970777.153320,117597,13,0
2,Payment,1548970777.161537,1685,29,0
2,Payment,1548970777.170888,8941,68,0
2,Payment,1548970777.179097,5381,26,0
4,Delivery,1548970777.188411,32489,72,0
1,NewOrder,1548970777.196656,74265,9,0
2,Payment,1548970777.204768,7728,75,0
1,NewOrder,1548970777.213908,66415,76,0
1,NewOrder,1548970777.222084,58265,10,0
2,Payment,1548970777.231306,48878,30,0
1,NewOrder,1548970777.239502,40669,67,0
2,Payment,1548970777.248681,31495,70,0
2,Payment,1548970777.258025,23243,71,0
2,Payment,1548970777.266443,8971,65,0
1,NewOrder,1548970777.274685,2311,32,0
2,Payment,1548970777.284025,12896,69,0
1,NewOrder,1548970777.292167,4519,60,0
2,Payment,1548970777.301504,37151,63,0
1,NewOrder,1548970777.310029,3209,66,0
2,Payment,1548970777.318130,70810,1,0
1,NewOrder,1548970777.327475,20240,33,0
1,NewOrder,1548970777.335731,1805,62,0
2,Payment,1548970777.343926,45434,0,0
1,NewOrder,1548970777.353064,13899,61,0
1,NewOrder,1548970777.361210,19149,8,0
5,StockLevel,1548970777.370360,10902,24,0
3,OrderStatus,1548970777.379696,6305,4,0
1,NewOrder,1548970777.387961,5148,5,0
3,OrderStatus,1548970777.396210,5682,22,0
2,Payment,1548970777.405561,58927,2,0
2,Payment,1548970777.413775,60314,57,0
2,Payment,1548970777.422949,51521,59,0
