Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1548965494.071336,23915,5,0
1,NewOrder,1548965494.147617,39260,2,0
1,NewOrder,1548965494.224922,62041,4,0
1,NewOrder,1548965494.301210,43998,3,0
2,Payment,1548965494.378424,16912,7,0
1,NewOrder,1548965494.455697,56485,1,0
2,Payment,1548965494.533113,20621,0,0
1,NewOrder,1548965494.609336,44511,6,0
1,NewOrder,1548965494.686751,42059,8,0
1,NewOrder,1548965494.762973,40942,9,0
2,Payment,1548965494.840253,13644,5,0
2,Payment,1548965494.917681,19479,2,0
1,NewOrder,1548965494.993970,18048,4,0
4,Delivery,1548965495.071430,32554,3,0
2,Payment,1548965495.147709,14626,7,0
2,Payment,1548965495.225018,29295,1,0
1,NewOrder,1548965495.301308,35952,0,0
1,NewOrder,1548965495.378514,25392,6,0
4,Delivery,1548965495.455983,64778,8,0
1,NewOrder,1548965495.532172,30351,9,0
1,NewOrder,1548965495.609391,44853,5,0
1,NewOrder,1548965495.686678,25864,2,0
1,NewOrder,1548965495.762838,33037,4,0
2,Payment,1548965495.840074,14251,3,0
1,NewOrder,1548965495.917525,45140,7,0
2,Payment,1548965495.993740,10572,1,0
1,NewOrder,1548965496.071002,33431,0,0
3,OrderStatus,1548965496.148406,5736,6,0
1,NewOrder,1548965496.224673,29774,8,0
2,Payment,1548965496.302215,18861,9,0
3,OrderStatus,1548965496.378412,6356,5,0
4,Delivery,1548965496.455657,23701,2,0
1,NewOrder,1548965496.533082,21292,4,0
2,Payment,1548965496.609340,11695,3,0
1,NewOrder,1548965496.686748,34454,7,0
5,StockLevel,1548965496.762985,8426,1,0
1,NewOrder,1548965496.840281,30962,0,0
1,NewOrder,1548965496.917649,20318,6,0
1,NewOrder,1548965496.993885,27291,8,0
2,Payment,1548965497.071309,16586,9,0
2,Payment,1548965497.147567,15318,5,0
1,NewOrder,1548965497.224772,29957,2,0
2,Payment,1548965497.302279,19094,4,0
1,NewOrder,1548965497.378548,17758,3,0
2,Payment,1548965497.455950,15345,7,0
2,Payment,1548965497.532210,14157,1,0
1,NewOrder,1548965497.609451,28679,0,0
2,Payment,1548965497.686853,9442,6,0
2,Payment,1548965497.763067,16774,8,0
2,Payment,1548965497.840360,14431,9,0
2,Payment,1548965497.916638,12957,5,0
1,NewOrder,1548965497.993844,19199,2,0
2,Payment,1548965498.071128,8597,4,0
1,NewOrder,1548965498.147369,32605,3,0
1,NewOrder,1548965498.224615,30180,7,0
1,NewOrder,1548965498.301868,19679,1,0
2,Payment,1548965498.378137,9951,0,0
2,Payment,1548965498.455393,116197,6,0
2,Payment,1548965498.532647,42468,8,0
4,Delivery,1548965498.608895,63075,9,0
1,NewOrder,1548965498.686095,27054,5,0
2,Payment,1548965498.763326,8262,2,0
2,Payment,1548965498.840826,14078,4,0
1,NewOrder,1548965498.917100,29639,3,0
2,Payment,1548965498.994459,10513,7,0
3,OrderStatus,1548965499.070701,5412,1,0
1,NewOrder,1548965499.147971,23663,0,0
1,NewOrder,1548965499.225386,21305,6,0
2,Payment,1548965499.301646,11559,8,0
2,Payment,1548965499.379048,9321,9,0
2,Payment,1548965499.455156,8100,5,0
1,NewOrder,1548965499.532390,22604,2,0
1,NewOrder,1548965499.609751,20335,4,0
3,OrderStatus,1548965499.685910,4297,3,0
2,Payment,1548965499.763145,25523,7,0
1,NewOrder,1548965499.840417,148366,1,0
1,NewOrder,1548965499.916679,122109,0,0
2,Payment,1548965499.993908,45000,6,0
2,Payment,1548965500.071314,17230,8,0
1,NewOrder,1548965500.147542,32555,9,0
1,NewOrder,1548965500.224791,22065,5,0
4,Delivery,1548965500.302264,69432,2,0
2,Payment,1548965500.378521,9917,4,0
2,Payment,1548965500.455916,32638,3,0
1,NewOrder,1548965500.532193,23043,7,0
2,Payment,1548965500.609431,70742,1,0
2,Payment,1548965500.686841,9871,0,0
2,Payment,1548965500.763076,8774,6,0
1,NewOrder,1548965500.840330,39920,8,0
1,NewOrder,1548965500.916594,30331,9,0
2,Payment,1548965500.993829,78247,5,0
1,NewOrder,1548965501.071046,25899,2,0
2,Payment,1548965501.148477,15195,4,0
2,Payment,1548965501.224716,13907,3,0
1,NewOrder,1548965501.302079,136465,7,0
2,Payment,1548965501.378337,68668,1,0
3,OrderStatus,1548965501.455547,5890,0,0
2,Payment,1548965501.532970,13983,6,0
2,Payment,1548965501.609233,21090,8,0
1,NewOrder,1548965501.686344,69004,9,0
1,NewOrder,1548965501.763789,33187,5,0
1,NewOrder,1548965501.839969,23583,2,0
3,OrderStatus,1548965501.917232,4757,4,0
4,Delivery,1548965501.994649,27280,3,0
2,Payment,1548965502.070958,9361,7,0
1,NewOrder,1548965502.148407,23738,1,0
4,Delivery,1548965502.224610,14143,0,0
1,NewOrder,1548965502.301874,28577,6,0
2,Payment,1548965502.378125,19056,8,0
2,Payment,1548965502.455385,16776,9,0
2,Payment,1548965502.532674,14392,5,0
2,Payment,1548965502.608938,13205,2,0
