Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1548966476.779722,75026,7,0
3,OrderStatus,1548966476.805955,10126,4,0
2,Payment,1548966476.832184,25791,6,0
2,Payment,1548966476.858401,21519,28,0
1,NewOrder,1548966476.884665,103589,21,0
3,OrderStatus,1548966476.910840,9051,0,0
1,NewOrder,1548966476.937098,59547,25,0
2,Payment,1548966476.963297,33381,5,0
2,Payment,1548966476.989552,23853,29,0
2,Payment,1548966477.016992,54704,3,0
2,Payment,1548966477.043332,36595,18,0
2,Payment,1548966477.068598,12204,17,0
1,NewOrder,1548966477.094809,43440,12,0
2,Payment,1548966477.122084,24804,9,0
5,StockLevel,1548966477.148436,12038,24,0
1,NewOrder,1548966477.174799,71963,10,0
5,StockLevel,1548966477.201123,10563,16,0
5,StockLevel,1548966477.227545,10978,26,0
2,Payment,1548966477.252751,69080,15,0
2,Payment,1548966477.279008,43292,19,0
1,NewOrder,1548966477.306408,82101,22,0
2,Payment,1548966477.332688,64095,14,0
2,Payment,1548966477.359098,37756,8,0
3,OrderStatus,1548966477.384323,8717,13,0
2,Payment,1548966477.411728,60039,2,0
1,NewOrder,1548966477.437036,51551,20,0
2,Payment,1548966477.464372,24176,23,0
1,NewOrder,1548966477.489614,124052,11,0
2,Payment,1548966477.515897,106191,1,0
2,Payment,1548966477.543111,79750,4,0
1,NewOrder,1548966477.569523,52455,7,0
2,Payment,1548966477.595757,27435,6,0
1,NewOrder,1548966477.622034,100036,27,0
1,NewOrder,1548966477.648356,82013,28,0
1,NewOrder,1548966477.674584,64176,0,0
1,NewOrder,1548966477.700810,17062,21,0
2,Payment,1548966477.726965,20245,25,0
2,Payment,1548966477.753149,77396,5,0
1,NewOrder,1548966477.779295,59499,29,0
2,Payment,1548966477.805446,25495,3,0
5,StockLevel,1548966477.832727,9999,18,0
1,NewOrder,1548966477.858001,114197,17,0
1,NewOrder,1548966477.885240,95670,12,0
4,Delivery,1548966477.911502,69300,9,0
1,NewOrder,1548966477.937783,43065,24,0
2,Payment,1548966477.964185,25122,16,0
2,Payment,1548966477.990472,65261,26,0
1,NewOrder,1548966478.016779,47265,10,0
1,NewOrder,1548966478.043114,29320,15,0
2,Payment,1548966478.069510,11442,19,0
1,NewOrder,1548966478.095824,26846,22,0
1,NewOrder,1548966478.122181,75396,13,0
1,NewOrder,1548966478.148613,57344,14,0
1,NewOrder,1548966478.173788,40581,8,0
1,NewOrder,1548966478.201079,71720,2,0
2,Payment,1548966478.227449,53784,23,0
1,NewOrder,1548966478.253784,3220,20,0
2,Payment,1548966478.280139,17502,11,0
1,NewOrder,1548966478.305395,25526,7,0
1,NewOrder,1548966478.332758,39999,1,0
1,NewOrder,1548966478.359101,22007,4,0
1,NewOrder,1548966478.384361,38601,6,0
2,Payment,1548966478.411688,19502,21,0
2,Payment,1548966478.436948,61082,27,0
2,Payment,1548966478.464344,34146,28,0
2,Payment,1548966478.490701,23911,0,0
1,NewOrder,1548966478.515920,90488,25,0
1,NewOrder,1548966478.542173,72634,5,0
2,Payment,1548966478.569582,6973,3,0
2,Payment,1548966478.594798,7066,29,0
5,StockLevel,1548966478.622185,3835,18,0
2,Payment,1548966478.647453,92314,17,0
2,Payment,1548966478.674697,73386,9,0
2,Payment,1548966478.701112,8913,24,0
1,NewOrder,1548966478.727402,2559,12,0
4,Delivery,1548966478.753907,102524,16,0
5,StockLevel,1548966478.779065,4489,26,0
1,NewOrder,1548966478.806444,58245,10,0
2,Payment,1548966478.831657,6798,15,0
1,NewOrder,1548966478.858055,73597,19,0
2,Payment,1548966478.884293,55567,22,0
1,NewOrder,1548966478.911546,28358,13,0
2,Payment,1548966478.937942,10339,14,0
3,OrderStatus,1548966478.964296,5072,8,0
2,Payment,1548966478.989546,41998,20,0
1,NewOrder,1548966479.016981,72982,2,0
1,NewOrder,1548966479.042211,56174,23,0
1,NewOrder,1548966479.069492,28926,11,0
2,Payment,1548966479.095892,10890,7,0
2,Payment,1548966479.121134,18958,1,0
1,NewOrder,1548966479.148516,75260,4,0
3,OrderStatus,1548966479.174899,4489,6,0
2,Payment,1548966479.200116,98286,21,0
1,NewOrder,1548966479.227540,79347,27,0
2,Payment,1548966479.252769,46231,28,0
1,NewOrder,1548966479.279026,36167,0,0
1,NewOrder,1548966479.306383,92288,3,0
2,Payment,1548966479.332784,74260,29,0
1,NewOrder,1548966479.357982,49132,25,0
2,Payment,1548966479.385379,21786,5,0
2,Payment,1548966479.410661,46402,18,0
2,Payment,1548966479.436906,28449,24,0
2,Payment,1548966479.464295,9364,12,0
1,NewOrder,1548966479.489537,42559,17,0
2,Payment,1548966479.516921,165493,9,0
2,Payment,1548966479.543300,172239,26,0
1,NewOrder,1548966479.568545,61388,15,0
1,NewOrder,1548966479.595938,34014,16,0
2,Payment,1548966479.621208,94294,10,0
1,NewOrder,1548966479.648567,66946,19,0
2,Payment,1548966479.673810,42533,22,0
2,Payment,1548966479.701242,15135,13,0
2,Payment,1548966479.726469,47493,14,0
2,Payment,1548966479.753886,78019,8,0
1,NewOrder,1548966479.779116,61422,20,0
1,NewOrder,1548966479.805354,35009,2,0
1,NewOrder,1548966479.832720,41730,23,0
3,OrderStatus,1548966479.859004,5706,11,0
1,NewOrder,1548966479.885433,38745,7,0
1,NewOrder,1548966479.910672,72093,1,0
1,NewOrder,1548966479.937952,94532,6,0
1,NewOrder,1548966479.964388,68095,4,0
1,NewOrder,1548966479.989601,92837,21,0
1,NewOrder,1548966480.016985,65492,28,0
2,Payment,1548966480.042179,6498,27,0
4,Delivery,1548966480.069589,21309,0,0
3,OrderStatus,1548966480.096051,5800,3,0
2,Payment,1548966480.121312,119542,29,0
5,StockLevel,1548966480.147531,8776,25,0
2,Payment,1548966480.174933,74318,5,0
2,Payment,1548966480.200170,9723,18,0
2,Payment,1548966480.227482,1888,24,0
1,NewOrder,1548966480.252700,79934,12,0
2,Payment,1548966480.280066,60892,17,0
1,NewOrder,1548966480.306390,3923,15,0
3,OrderStatus,1548966480.332660,4225,16,0
2,Payment,1548966480.357969,41506,9,0
2,Payment,1548966480.385289,39356,10,0
2,Payment,1548966480.411495,13703,19,0
3,OrderStatus,1548966480.437779,4216,26,0
3,OrderStatus,1548966480.464191,5329,22,0
2,Payment,1548966480.490514,50243,13,0
1,NewOrder,1548966480.516807,3868,14,0
1,NewOrder,1548966480.543066,64911,8,0
5,StockLevel,1548966480.569399,7271,2,0
3,OrderStatus,1548966480.595832,5712,20,0
3,OrderStatus,1548966480.622150,3685,11,0
2,Payment,1548966480.648588,59344,23,0
1,NewOrder,1548966480.673807,109060,7,0
2,Payment,1548966480.701180,156529,1,0
2,Payment,1548966480.726391,131909,6,0
1,NewOrder,1548966480.753760,3794,4,0
2,Payment,1548966480.780118,6223,27,0
2,Payment,1548966480.805326,6765,21,0
2,Payment,1548966480.832765,5339,28,0
1,NewOrder,1548966480.859010,48892,0,0
1,NewOrder,1548966480.885365,55599,3,0
2,Payment,1548966480.910585,38786,25,0
2,Payment,1548966480.938397,19312,18,0
2,Payment,1548966480.963648,69062,24,0
1,NewOrder,1548966480.989985,51139,29,0
2,Payment,1548966481.016216,24859,5,0
2,Payment,1548966481.042448,15136,15,0
2,Payment,1548966481.068680,55912,12,0
2,Payment,1548966481.094928,30165,16,0
2,Payment,1548966481.121188,4235,17,0
1,NewOrder,1548966481.148580,151064,9,0
2,Payment,1548966481.173870,50953,10,0
2,Payment,1548966481.201176,24210,19,0
2,Payment,1548966481.227407,80330,26,0
2,Payment,1548966481.253656,54587,22,0
2,Payment,1548966481.279962,6582,14,0
2,Payment,1548966481.306220,9890,13,0
1,NewOrder,1548966481.332459,42028,2,0
1,NewOrder,1548966481.358729,24154,20,0
1,NewOrder,1548966481.384880,64778,8,0
1,NewOrder,1548966481.411009,47073,11,0
2,Payment,1548966481.437132,20883,23,0
2,Payment,1548966481.463288,36398,4,0
1,NewOrder,1548966481.490571,76018,7,0
1,NewOrder,1548966481.516861,141459,27,0
1,NewOrder,1548966481.543105,18371,21,0
4,Delivery,1548966481.569370,97506,28,0
2,Payment,1548966481.595609,71013,1,0
1,NewOrder,1548966481.621822,2211,6,0
1,NewOrder,1548966481.647960,2413,0,0
1,NewOrder,1548966481.674067,67612,3,0
2,Payment,1548966481.700217,49798,25,0
1,NewOrder,1548966481.726387,31885,18,0
1,NewOrder,1548966481.753654,71610,24,0
1,NewOrder,1548966481.779900,53682,5,0
2,Payment,1548966481.806160,27315,29,0
1,NewOrder,1548966481.832424,76187,15,0
1,NewOrder,1548966481.858622,58163,12,0
1,NewOrder,1548966481.884781,32084,16,0
2,Payment,1548966481.910936,4347,17,0
4,Delivery,1548966481.937085,63167,10,0
1,NewOrder,1548966481.963236,45460,19,0
2,Payment,1548966481.990544,18124,14,0
2,Payment,1548966482.016800,50265,9,0
1,NewOrder,1548966482.043052,32244,26,0
2,Payment,1548966482.069364,14428,22,0
2,Payment,1548966482.095654,71380,13,0
1,NewOrder,1548966482.122086,53407,2,0
2,Payment,1548966482.148418,27073,20,0
5,StockLevel,1548966482.174600,7383,8,0
2,Payment,1548966482.200869,16306,23,0
2,Payment,1548966482.227140,73649,11,0
1,NewOrder,1548966482.253294,105575,4,0
1,NewOrder,1548966482.279536,87750,21,0
1,NewOrder,1548966482.305678,61643,7,0
1,NewOrder,1548966482.331866,21756,6,0
2,Payment,1548966482.358067,17554,0,0
2,Payment,1548966482.385319,23707,27,0
3,OrderStatus,1548966482.411606,4929,1,0
1,NewOrder,1548966482.437988,46281,28,0
1,NewOrder,1548966482.464265,94756,3,0
2,Payment,1548966482.490544,76841,25,0
2,Payment,1548966482.516836,50533,18,0
5,StockLevel,1548966482.543044,4056,24,0
2,Payment,1548966482.569253,14654,29,0
2,Payment,1548966482.595541,21857,5,0
2,Payment,1548966482.621691,62749,15,0
1,NewOrder,1548966482.647849,2962,17,0
2,Payment,1548966482.674019,10936,12,0
1,NewOrder,1548966482.700193,34230,16,0
2,Payment,1548966482.727461,40335,10,0
2,Payment,1548966482.753691,14648,14,0
2,Payment,1548966482.779955,21062,19,0
1,NewOrder,1548966482.806238,44891,9,0
1,NewOrder,1548966482.832501,126994,26,0
1,NewOrder,1548966482.858783,233973,22,0
1,NewOrder,1548966482.885106,207749,13,0
